SKU,Description,CriticalCode,CriticalCodeDescription,CommodityCode,CommodityCodeDescription,InventoryClassCode,InventoryClassCodeDescription,StockDiscount,DNPTimiAgoras,TimiLianikis,PosotitaPoliseon
030613.06,_____ __________________, , , , , , , ,0,0,0
040-224900,PUSH ROD, , , , , , , ,0,0,0
230513.01,___ ____�_ JD5085/5095/5105 M, , , , , , , ,0,0,0
230513.02,___ ____�_ JD5075, , , , , , , ,0,0,0
230513.03,___ ____�_ JD5055, , , , , , , ,0,0,0
230513.04,___ ____�_ JD GF, , , , , , , ,0,0,0
40M7268,replacement parts, , , , ,null,No value from JD,N,0,0,0
59509001,________ 500mm, , , , , , , ,0,95.76,19
59759001,________ 750mm _____, , , , , , , ,0,119.7,1067
59759003,________ 750mm _______, , , , , , , ,0,119.7,200
66213090,______ 130+ (m/kg) JD XTRATWINE, , , , , , , ,0,29.223,3140
66215058,______ 150 (m/kg) JD XTRATWINE, , , , , , , ,0,29.223,490
66235090,______ 350 (m/kg) JD XTRATWINE, , , , , , , ,0,15.98,3040
66240090,______ 400 (m/kg) JD XTRATWINE, , , , , , , ,0,15.98,3586
66275090,______ 750 (m/kg) JD XTRATWINE, , , , , , , ,0,15.895,194
73049000,SAMPLE JOHN DEERE XTRANET 420M, , , , , , , ,0,29.088,625
73209200,_____ 2000_ John Deere Netwrap, , , , , , , ,0,121.32,187
73289040,_____ 2800_ JOHN DEERE XTRANET, , , , , , , ,0,194.04,200
73309200,_____ 3000_ John Deere Netwrap, , , , , , , ,0,181.8,37
73369000,_____ 3600_ JOHN DEERE XTRANET, , , , , , , ,0,254.88,164
73389170,_____ 3800_ John Deere CoverEdge, , , , , , , ,0,263.16,62
73429040,_____ 4200_ JOHN DEERE XTRANET, , , , , , , ,0,290.88,232
AH202070,replacement parts, , , , ,null,No value from JD,N,0,0,0
AH85494,old parts, , , , ,null,No value from JD,N,0,0,0
AH90798,old parts, , , , ,null,No value from JD,N,0,0,0
AL110267,replacement parts, , , , ,null,No value from JD,N,0,0,0
AL110352,replacement parts, , , , ,null,No value from JD,N,0,0,0
AL111498,replacement parts, , , , ,null,No value from JD,N,0,0,0
AL113176,old parts, , , , ,null,No value from JD,N,0,0,0
AL118154,old parts, , , , , , , ,0,0,0
AL119215,old parts, , , , ,null,No value from JD,N,0,0,0
AL119231,old parts, , , , ,null,No value from JD,N,0,0,0
AL119390,replacement parts, , , , ,null,No value from JD,N,0,0,0
AL14207,old parts, , , , ,null,No value from JD,N,0,0,0
AL14211,old parts, , , , ,null,No value from JD,N,0,0,0
AL155607,old parts, , , , ,null,No value from JD,N,0,0,0
AL156797,old parts, , , , ,null,No value from JD,N,0,0,0
AL159264,old parts, , , , ,null,No value from JD,N,0,0,0
AL159811,______ AUTO POWER, , , , , , , ,0,0,0
AL161123,replacement parts, , , , ,null,No value from JD,N,0,0,0
AL161488.___,replacement parts, , , , ,null,No value from JD,N,0,0,0
AL164378.KAT,______, , , , , , , ,0,0,0
AL164451,old parts, , , , ,null,No value from JD,N,0,0,0
AL164770,replacement parts, , , , ,null,No value from JD,N,0,0,0
AL208001.KAT,___ ___________, , , , , , , ,0,0,0
AL38179,old parts, , , , ,null,No value from JD,N,0,0,0
AL40871,old parts, , , , ,null,No value from JD,N,0,0,0
AL41599,old parts, , , , ,null,No value from JD,N,0,0,0
AL68616,old parts, , , , ,null,No value from JD,N,0,0,1
AL70625,old parts, , , , ,null,No value from JD,N,0,0,0
AL70932,old parts, , , , ,null,No value from JD,N,0,0,0
AL80443,replacement parts, , , , ,null,No value from JD,N,0,0,0
AL82438,old parts, , , , ,null,No value from JD,N,0,0,0
AL82602,replacement parts, , , , ,null,No value from JD,N,0,0,0
AN113615,old parts, , , , ,null,No value from JD,N,0,0,2
AN190755,old parts, , , , ,null,No value from JD,N,0,0,0
AN190862,BRACKET, , , , ,null,No value from JD,N,0,0,0
AN190863,BRACKET ASM GEARGA, , , , ,null,No value from JD,N,0,0,0
AN279876,replacement parts, , , , ,null,No value from JD,N,0,0,0
AR61610,old parts, , , , ,null,No value from JD,N,0,0,0
AZ100262,replacement parts, , , , ,null,No value from JD,N,0,0,0
AZ24169,old parts, , , , ,null,No value from JD, ,0,0,0
AZ24241,replacement parts, , , , ,null,No value from JD,N,0,0,0
AZ27730,old parts, , , , ,null,No value from JD,N,0,0,0
AZ30735,old parts, , , , ,null,No value from JD,N,0,0,0
AZ32303,old parts, , , , ,null,No value from JD,N,0,0,0
AZ34259,old parts, , , , ,null,No value from JD,N,0,0,0
AZ41079,old parts, , , , ,null,No value from JD,N,0,0,0
AZ41083,old parts, , , , ,null,No value from JD,N,0,0,0
AZ42223,old parts, , , , ,null,No value from JD,N,0,0,0
AZ43700,old parts, , , , ,null,No value from JD,N,0,0,0
AZ44912,old parts, , , , ,null,No value from JD,N,0,0,0
AZ44913,old parts, , , , ,null,No value from JD,N,0,0,0
AZ45756,old parts, , , , ,null,No value from JD,N,0,0,0
AZ47903,SEAT KNOB KIT, , , , ,null,No value from JD,N,0,0,1
AZ48479,old parts, , , , ,null,No value from JD,N,0,0,0
AZ49433,old parts, , , , ,null,No value from JD,N,0,0,0
AZ49434,old parts, , , , ,null,No value from JD,N,0,0,0
AZ49435,old parts, , , , ,null,No value from JD,N,0,0,0
ER262787          ,Relay                      ,  , ,   , ,E,3%(Class A+B+C+D+E=100%ofparts,Y,5.39,13.0977,0
F3171,old parts, , , , ,null,No value from JD, ,0,0,0
H128576,old parts, , , , ,null,No value from JD,N,0,0,0
H28679,old parts, , , , ,null,No value from JD, ,0,0,0
J4216H,old parts, , , , ,null,No value from JD,N,0,0,0
J4217H,old parts, , , , ,null,No value from JD,N,0,0,0
JD10543,old parts, , , , ,null,No value from JD,N,0,0,0
JD5720,replacement parts, , , , ,null,No value from JD,N,0,0,0
JD600RA,________ JD 600KG, , , , ,null,No value from JD, ,0,2227.2,0
KT3215033840,_____, , , , , , , ,0,0,2
L111958,old parts, , , , ,null,No value from JD,N,0,0,0
L111959,old parts, , , , ,null,No value from JD,N,0,0,0
